2011-01-01,8.7
2010-12-01,8.8
2010-11-01,9.3
2010-10-01,9
2010-09-01,8.9
2010-08-01,9
2010-07-01,9.1
2010-06-01,8.8
2010-05-01,9.2
2010-04-01,8.7
2010-03-01,10.3
2010-02-01,9.4
2010-01-01,9.1
2009-12-01,10.1
2009-11-01,9.7
2009-10-01,9.4
2009-09-01,10.1
2009-08-01,10.7
2009-07-01,10.4
2009-06-01,8.6
2009-05-01,8
2009-04-01,8.9
2009-03-01,7.4
2009-02-01,8.4
2009-01-01,8.1
2008-12-01,8.7
2008-11-01,7.9
2008-10-01,8.1
2008-09-01,7.8
2008-08-01,6.9
2008-07-01,8.4
2008-06-01,10.7
2008-05-01,9.3
2008-04-01,10.3
2008-03-01,7.4
2008-02-01,7.4
2008-01-01,7.6
2007-12-01,8.5
2007-11-01,8.1
2007-10-01,8.5
2007-09-01,7.5
2007-08-01,8.9
2007-07-01,8.3
2007-06-01,10.6
2007-05-01,7.8
2007-04-01,8
2007-03-01,11.3
2007-02-01,9.6
2007-01-01,8.6
2006-12-01,8.9
2006-11-01,9.6
2006-10-01,8.2
2006-09-01,8.5
2006-08-01,8.1
2006-07-01,8.4
2006-06-01,8.4
2006-05-01,8.6
2006-04-01,8.4
2006-03-01,8.1
2006-02-01,7.5
2006-01-01,8.5
2005-12-01,9.1
2005-11-01,8.2
2005-10-01,8.5
2005-09-01,8.3
2005-08-01,8.1
2005-07-01,8.3
2005-06-01,8.1
2005-05-01,8.5
2005-04-01,8.2
2005-03-01,8.7
2005-02-01,9
2005-01-01,8.5
2004-12-01,8.3
2004-11-01,7.9
2004-10-01,6.3
2004-09-01,8.3
2004-08-01,8.8
2004-07-01,8.5
2004-06-01,8.6
2004-05-01,9.2
2004-04-01,9.3
2004-03-01,9.7
2004-02-01,8.9
2004-01-01,9.3
2003-12-01,9.3
2003-11-01,9.5
2003-10-01,9.8
2003-09-01,10
2003-08-01,10.3
2003-07-01,10.5
2003-06-01,10.9
2003-05-01,10.9
2003-04-01,8.8
2003-03-01,11.2
2003-02-01,11.2
2003-01-01,11.4
2002-12-01,11
2002-11-01,11.8
2002-10-01,12
2002-09-01,12.1
2002-08-01,12
2002-07-01,12.2
2002-06-01,12.2
2002-05-01,12.2
2002-04-01,12.8
2002-03-01,13.2
2002-02-01,13.9
2002-01-01,13.3
2001-12-01,13.1
2001-11-01,14
2001-10-01,14.1
2001-09-01,13.2
2001-08-01,14.8
2001-07-01,14.8
2001-06-01,14
2001-05-01,15.5
2001-04-01,15.3
2001-03-01,16.2
2001-02-01,15.6
2001-01-01,16.8
2000-12-01,17.2
2000-11-01,17.2
2000-10-01,17.1
2000-09-01,16.4
2000-08-01,19.2
2000-07-01,21.3
2000-06-01,17.7
2000-05-01,21.3
2000-04-01,21
2000-03-01,20.4
2000-02-01,21.1
2000-01-01,15.8
1999-12-01,13.4
1999-11-01,21.2
1999-10-01,20.1
1999-09-01,40.1
1999-08-01,18.5
1999-07-01,16.1
1999-06-01,14.2
1999-05-01,12.3
1999-04-01,13
1999-03-01,19.1
1999-02-01,18.6
1999-01-01,18
1998-12-01,18
1998-11-01,16.3
1998-10-01,15.7
1998-09-01,16.1
1998-08-01,14.5
1998-07-01,14.2
1998-06-01,15.2
1998-05-01,15.2
1998-04-01,20.4
1998-03-01,13.5
1998-02-01,11.6
1998-01-01,12.5
1997-12-01,13.5
1997-11-01,14.6
1997-10-01,15.7
1997-09-01,14.5
1997-08-01,16.5
1997-07-01,15.7
1997-06-01,16.4
1997-05-01,21.7
1997-04-01,14.2
1997-03-01,22.9
1997-02-01,24.6
1997-01-01,26.1
1996-12-01,37.2
